metric,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_energy_abs_error,l3n5_median_energy_abs_error,l3n5_minus_l3n4_energy_abs_error,l3n4_median_force_rmse,l3n5_median_force_rmse,l3n5_minus_l3n4_force_rmse,target_force_rms,target_force_mean_atom_magnitude,ch_mean,ch_min,ch_max,ch_range,ch_cv,hch_min_deg,hch_max_deg,hch_mean_deg,hch_angle_rmse_tetra_deg,chh_mean_deg,hhh_mean_deg,hydrogen_center_angle_mean_deg,all_atom_angle_mean_deg,atom_center_mean_angle_std_deg,tetrahedral_asymmetry,hh_min,hh_max,h_tetra_volume,rank,absolute_improvement,percent_improvement,matched_seed_wins
energy_abs_error,6266598,1055.802978515625,4476.731168443207,0.0568892628302824,True,True,False,8.67425537109375,3.349853515625,-5.32440185546875,65.49899549001131,64.76053199399868,-0.7384634960126277,1733.6976620376502,2327.8553786774414,1.1355949189598216,0.5000419525567352,1.9405717687605823,1.4405298162038471,0.560183713600381,9.91573018793351,110.09796268600097,64.93393288755058,55.653406180755695,57.53303355622473,60.0,58.76651677811236,60.00000000000001,25.756874405456685,0.9552385190556911,0.7886393017656036,1.912833836949127,0.04822993065696077,1,5.32440185546875,61.38165903221948,4/4
energy_abs_error,5135411,-28.96138000488281,683.2154150202966,0.0624427743204797,True,False,False,2.6906747817993164,1.2095928192138672,-1.4810819625854492,7.608120327049846,7.29908201359912,-0.3090383134507259,242.5660324268609,318.04034173472814,1.256415128624294,0.7986460255959523,1.460809632218492,0.6621636066225397,0.2136419290310177,35.86538889756758,167.32114292092115,106.89783968540523,51.27728167959659,36.5510801572974,60.0,48.2755400786487,60.0,24.64581858677527,0.7404039168578824,0.8689793171264122,2.629882534397388,0.0915840779414165,2,1.4810819625854492,55.04500107571587,4/4
energy_abs_error,6360591,-52.64358901977539,251.14580256404997,0.084937506865684,True,False,False,1.6442756652832031,0.32733154296875,-1.3169441223144531,3.232833260286214,3.2090837945476998,-0.0237494657385148,89.97512376383594,135.57892468207206,1.4852121748588267,0.9886015270260984,1.8565767881192956,0.8679752610931972,0.21340752021542592,27.530629205754828,121.94584507417703,68.28922057651613,53.0825577533178,55.85538971174193,60.0,57.92769485587095,60.00000000000001,23.544245820529518,0.9033065742899966,0.7560897942965618,2.707647979917086,0.11249541107146882,3,1.3169441223144531,80.09266025886409,4/4
energy_abs_error,7700291,-84.5953598022461,161.87158998919742,0.0383891846978666,False,False,True,2.0195465087890625,0.7217483520507812,-1.2977981567382812,4.994359853669891,4.993602249802176,-0.000757603867715,58.92941717773635,85.4309597037068,1.5289567230993528,1.050399207719775,1.8213808106561822,0.7709816029364072,0.19866713228392807,33.57016408771353,159.83897589681433,102.70420683411517,51.44037966909914,38.64789658294242,60.00000000000001,49.32394829147122,60.00000000000001,25.446297488763655,0.7854588769400419,1.0076540042036226,3.3590971589483214,0.08687530859267022,4,1.2977981567382812,64.26186032806207,4/4
energy_abs_error,4778168,102.83438110351562,1095.6778672505068,0.112149486964093,True,True,False,1.5999755859375,0.42877197265625,-1.17120361328125,5.378358101088747,4.962804862321564,-0.415553238767183,430.2264193242648,654.1506241610771,1.073284911668184,0.7399048822107523,1.8875544483246065,1.1476495661138542,0.4402362933296544,55.844615761277055,135.9042451663976,96.70913247015774,33.75048165000534,41.64543376492113,60.00000000000001,50.82271688246058,60.00000000000002,25.19029897002109,0.7266815591160233,0.7832075687779718,2.499923837943459,0.12997880963076527,5,1.17120361328125,73.20134279392691,4/4
energy_abs_error,7533136,-5.817512035369873,440.0471436684739,0.059561788728835,True,False,False,1.2785544395446775,0.2779698371887207,-1.000584602355957,3.539652673731732,3.693554392505279,0.1539017187735467,148.82931128471563,194.64463120098426,1.7072730519897314,0.862725766352088,2.772621603966803,1.9098958376147148,0.40134351391370315,47.91001922736072,147.66853040996043,104.9540907960017,33.31498449425724,37.522954601999146,60.0,48.761477300999566,60.00000000000001,31.64774047026366,0.6310740310778146,1.2474173216757192,3.8745841978682662,0.3664020106994233,6,1.000584602355957,78.25905345980324,4/4
energy_abs_error,6233586,-155.23348999023438,190.5740865538173,0.0762589689763771,True,False,False,1.1999969482421875,0.2218093872070312,-0.9781875610351562,3.591909980726069,3.961316860096983,0.3694068793709131,72.58067084961775,116.80524241262825,1.273024544425374,1.0219484611677474,1.4857087014036106,0.46376024023586315,0.13827711821205452,33.928297260860035,145.37127621372255,93.2459539785629,40.39393025966575,43.37702301071855,60.0,51.68851150535928,60.000000000000014,24.89271663237553,0.7214674913385843,0.8556290418592586,2.467866363915617,0.11546791868159668,7,0.9781875610351562,81.51583739175769,4/4
energy_abs_error,3986441,-14.988593101501465,81.56416086880213,0.5545674904598413,False,False,False,1.3189067840576172,0.3569622039794922,-0.961944580078125,2.257222239029044,2.317832114356888,0.0606098753278439,37.098948472530566,61.38446178653402,2.3690785499271776,1.0484191038052755,2.960693152187555,1.9122740483822795,0.32855040563152915,29.79118445442855,63.45357265344833,40.60793343218728,69.78775032480512,69.69603328390637,60.0,64.84801664195318,60.00000000000001,14.48448739425635,1.0426780134523932,1.6332453333414247,2.617035498527732,0.8233319291425228,8,0.961944580078125,72.93499371644008,4/4
energy_abs_error,4246309,956.009521484375,4542.151327963925,0.0965337164199994,True,True,False,2.22216796875,1.279815673828125,-0.942352294921875,10.169226742262564,6.861772915311244,-3.3074538269513187,1719.7346409462784,2307.5072746375704,1.4332701170009976,0.5077670214752039,2.8261311858613185,2.3183641643861144,0.6801373690268674,25.17177070299197,145.33281796686882,102.00345118347099,39.25201747942198,38.998274408264514,60.00000000000001,49.49913720413226,60.00000000000001,35.19798396722313,0.7952514120499286,0.7565255167898478,4.256838622349128,0.3598620348650339,9,0.942352294921875,42.40688859591299,4/4
energy_abs_error,6431212,-23.83555603027344,79.06343886426193,0.1694294601185055,False,False,False,1.9236345291137693,0.9864683151245116,-0.9371662139892578,2.497149127242582,1.6446255095281623,-0.8525236177144198,35.26061561779203,57.928629290310994,2.143336345487376,1.937208402758043,2.7467281879901124,0.8095197852320695,0.1625537713095048,29.815523480944794,101.24870457983955,57.467492939604284,58.17967575286332,61.26625353019788,60.0,60.63312676509895,60.000000000000014,19.06060162356915,0.99254040261927,1.4361850424191815,3.113462705944487,0.34063394404837793,10,0.9371662139892578,48.7185169430815,4/4
